"title_name","title_url","title_ingredients_name","title_directions_name","title_directions_selection2"
"Old Fashioned Peanut Butter Cookies","https://www.allrecipes.com/recipe/10836/old-fashioned-peanut-butter-cookies/?internalSource=hub%20recipe&referringContentType=Search","3 cups all-purpose flour","",""
"Old Fashioned Peanut Butter Cookies","https://www.allrecipes.com/recipe/10836/old-fashioned-peanut-butter-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon baking powder","",""
"Old Fashioned Peanut Butter Cookies","https://www.allrecipes.com/recipe/10836/old-fashioned-peanut-butter-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon salt","",""
"Old Fashioned Peanut Butter Cookies","https://www.allrecipes.com/recipe/10836/old-fashioned-peanut-butter-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup unsalted butter, softened","",""
"Old Fashioned Peanut Butter Cookies","https://www.allrecipes.com/recipe/10836/old-fashioned-peanut-butter-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup packed brown sugar","",""
"Old Fashioned Peanut Butter Cookies","https://www.allrecipes.com/recipe/10836/old-fashioned-peanut-butter-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup white sugar","",""
"Old Fashioned Peanut Butter Cookies","https://www.allrecipes.com/recipe/10836/old-fashioned-peanut-butter-cookies/?internalSource=hub%20recipe&referringContentType=Search","2 large eggs eggs","",""
"Old Fashioned Peanut Butter Cookies","https://www.allrecipes.com/recipe/10836/old-fashioned-peanut-butter-cookies/?internalSource=hub%20recipe&referringContentType=Search","2 cups peanut butter chips","",""
"Old Fashioned Peanut Butter Cookies","https://www.allrecipes.com/recipe/10836/old-fashioned-peanut-butter-cookies/?internalSource=hub%20recipe&referringContentType=Search","1 cup peanut butter","",""
"Old Fashioned Peanut Butter Cookies","https://www.allrecipes.com/recipe/10836/old-fashioned-peanut-butter-cookies/?internalSource=hub%20recipe&referringContentType=Search","2 teaspoons vanilla extract","",""
"","","","Step 1","Preheat oven to 350 degrees F (175 degrees C). Line 2 large baking sheets with parchment paper."
"","","","Step 2","Mix flour, baking powder and salt in a medium bowl."
"","","","Step 3","In a large bowl, beat butter, peanut butter, and vanilla with an electric mixer until well blended. Beat in both sugars. Scrape down the sides of the bowl. Stir in half of the dry ingredients into the mixture. Add eggs one at a time, blending well after each addition. Mix in remaining ingredients. Stir in peanut butter chips."
"","","","Step 4","For each cookie, roll 1 heaping tablespoon full of dough into 1 3/4 inch diameter ball. Arrange balls 2 1/2 inches apart on prepared baking sheets. Using the back of fork, flatten dough balls and form a crosshatch on tops."
"","","","Step 5","Bake cookies until dry on top, about 15 minutes."
"","","","Step 6","Cool cookies on baking sheets for 5 minutes. Using a spatula, transfer cookies to cooling racks to cool completely."
"Edible Chocolate Chip Cookie Dough","https://www.allrecipes.com/recipe/257415/edible-chocolate-chip-cookie-dough/?internalSource=hub%20recipe&referringContentType=Search","1 cup butter, softened","",""
"Edible Chocolate Chip Cookie Dough","https://www.allrecipes.com/recipe/257415/edible-chocolate-chip-cookie-dough/?internalSource=hub%20recipe&referringContentType=Search","¼ cup milk","",""
"Edible Chocolate Chip Cookie Dough","https://www.allrecipes.com/recipe/257415/edible-chocolate-chip-cookie-dough/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon vanilla extract","",""
"Edible Chocolate Chip Cookie Dough","https://www.allrecipes.com/recipe/257415/edible-chocolate-chip-cookie-dough/?internalSource=hub%20recipe&referringContentType=Search","2 ¼ cups all-purpose flour","",""
"Edible Chocolate Chip Cookie Dough","https://www.allrecipes.com/recipe/257415/edible-chocolate-chip-cookie-dough/?internalSource=hub%20recipe&referringContentType=Search","¾ cup brown sugar","",""
"Edible Chocolate Chip Cookie Dough","https://www.allrecipes.com/recipe/257415/edible-chocolate-chip-cookie-dough/?internalSource=hub%20recipe&referringContentType=Search","¾ cup white sugar","",""
"Edible Chocolate Chip Cookie Dough","https://www.allrecipes.com/recipe/257415/edible-chocolate-chip-cookie-dough/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon baking soda","",""
"Edible Chocolate Chip Cookie Dough","https://www.allrecipes.com/recipe/257415/edible-chocolate-chip-cookie-dough/?internalSource=hub%20recipe&referringContentType=Search","1 teaspoon salt","",""
"Edible Chocolate Chip Cookie Dough","https://www.allrecipes.com/recipe/257415/edible-chocolate-chip-cookie-dough/?internalSource=hub%20recipe&referringContentType=Search","1 cup chocolate chips","",""
"Edible Chocolate Chip Cookie Dough","https://www.allrecipes.com/recipe/257415/edible-chocolate-chip-cookie-dough/?internalSource=hub%20recipe&referringContentType=Search","½ cup chopped walnuts","",""
"","","","Step 1","Mix butter, milk, and vanilla extract together in a large bowl."
"","","","Step 2","Combine flour, brown sugar, white sugar, baking soda, and salt in a separate bowl; slowly mix into butter mixture, beating on low speed with an electric mixer until dough is just combined."
"","","","Step 3","Fold chocolate chips and walnuts into dough; drop by rounded tablespoon onto waxed paper."
"Buckeye Cookies II","https://www.allrecipes.com/recipe/10476/buckeye-cookies-ii/?internalSource=hub%20recipe&referringContentType=Search","2 cups butter, softened","",""
